begin
"57520";"广东休闲娱乐" ; "893" ; "广州" ; "番禺区" ; "广州市" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57520.html"
"57770";"广东粤剧艺术中心" ; "893" ; "广州" ; "越秀区" ; "东风东路703" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57770.html"
"57781";"广州珠江新城W酒店" ; "893" ; "广州" ; "天河区" ; "广州市天河区珠江新城冼村路26号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57781.html"
"57810";"珠江琶醍江景吧" ; "893" ; "广州" ; "海珠区" ; "广州市海珠区新港东路磨碟沙大街118号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57810.html"
"57820";"广州中心皇冠假日酒店三楼水晶厅" ; "893" ; "广州" ; "越秀区" ; "越秀区环市东路339号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57820.html"
"57940";"中山纪念堂（南广场）" ; "893" ; "广州" ; "越秀区" ; "广州市越秀区东风中路259号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_57940.html"
"58052";"飞livehouse" ; "893" ; "广州" ; "天河区" ; "广州天河区天河员村四横路128号红砖厂创意园B4-01/02" ; "未知" ; " 未知" ; "9" ; "http://venue.damai.cn/venue_58052.html"
"58820";"正佳北广场Hello Kitty主会场" ; "893" ; "广州" ; "天河区" ; "天河区天河路228号正佳购物广场5楼(近体育中心" ; "广场" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_58820.html"
"59011";"广州市天河区员村南街自编8号" ; "893" ; "广州" ; "天河区" ; "广州市天河区员村南街自编8号" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59011.html"
"59023";"亚洲国际游艇城•莲花山国际游艇会" ; "893" ; "广州" ; "番禺区" ; "广州番禺区石楼镇莲花山南侧滨临莲花山水道" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59023.html"
"59053";"广东演艺中心大剧院" ; "893" ; "广州" ; "天河区" ; "广州大道中1229号" ; "影院" ; " 未知" ; "2" ; "http://venue.damai.cn/venue_59053.html"
"59150";"珠江新城海风路广粤天地" ; "893" ; "广州" ; "天河区" ; "广州市珠江新城海风路广粤天地" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59150.html"
"59192";"飞扬影城（正佳店）3号厅" ; "893" ; "广州" ; "天河区" ; "飞扬影城（正佳店）3号厅" ; "未知" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59192.html"
"59437";"广州太古仓3号仓" ; "893" ; "广州" ; "海珠区" ; "广州市海珠区革新路124号" ; "其他" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59437.html"
"59633";"广州亚运城综合体育馆" ; "893" ; "广州" ; "番禺区" ; "广州市番禺区兴亚大道33号" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_59633.html"
"59671";"SD Livehouse" ; "893" ; "广州" ; "海珠区" ; "广州市工业大道北132号花城往事创意园7栋" ; "Livehouse" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_59671.html"
"59803";"大飞（飞LiveHouse白云店）" ; "893" ; "广州" ; "白云区" ; "白云区江夏大塘大街coco大院" ; "Livehouse" ; " 未知" ; "1" ; "http://venue.damai.cn/venue_59803.html"
"249";"陕西上实城开体育场（原陕西省体育场）" ; "3250" ; "西安" ; "新城区" ; "陕西省西安市碑林区长安北路14号 " ; "体育场馆" ; " 演唱会/体育比赛" ; "0" ; "http://venue.damai.cn/venue_249.html"
"480";"西安大唐芙蓉园" ; "3250" ; "西安" ; "新城区" ; "西安市曲江新区大雁塔之侧" ; "公园/娱乐休闲" ; " 儿童亲子" ; "0" ; "http://venue.damai.cn/venue_480.html"
"594";"西安雅高人民大厦大剧院" ; "3250" ; "西安" ; "新城区" ; "毗邻西安市省政府办公厅和著名的钟楼" ; "剧场" ; " 音乐会/话剧/歌剧/魔术马戏/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_594.html"
"607";"西安人民剧院" ; "3250" ; "西安" ; "新城区" ; "西安市碑林区北大街41号" ; "剧场" ; " 话剧" ; "0" ; "http://venue.damai.cn/venue_607.html"
"721";"交大思源体育馆" ; "3250" ; "西安" ; "新城区" ; "陕西省西安市咸宁西路28号 " ; "体育场馆" ; " 演唱会/体育比赛" ; "0" ; "http://venue.damai.cn/venue_721.html"
"726";"西安城市体育馆" ; "3250" ; "西安" ; "新城区" ; "西安市未央区西安城市运动公园" ; "体育场馆" ; " 演唱会/体育比赛" ; "1" ; "http://venue.damai.cn/venue_726.html"
"752";"西安古都大剧院" ; "3250" ; "西安" ; "新城区" ; "西安古都大剧院" ; "剧场" ; " 音乐会/话剧/歌剧" ; "0" ; "http://venue.damai.cn/venue_752.html"
"803";"中贝元剧场" ; "3250" ; "西安" ; "新城区" ; "西安市文艺北路197号西安市群众艺术馆-1层" ; "剧场" ; " 音乐会/话剧/歌剧/舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_803.html"
"812";"陕西各大景区" ; "3250" ; "西安" ; "新城区" ; "陕西各大景区" ; "景区" ; " 未知" ; "0" ; "http://venue.damai.cn/venue_812.html"
"813";"澳瑞特健身俱乐部" ; "3250" ; "西安" ; "新城区" ; "碑林区长安北路14号" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_813.html"
"814";"西安沃尔菲健身俱乐部" ; "3250" ; "西安" ; "新城区" ; "西安市互助路66号" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_814.html"
"815";"西安蓝积木健身俱乐部" ; "3250" ; "西安" ; "新城区" ; "西安市高新三路付18号" ; "体育场馆" ; " 体育比赛" ; "0" ; "http://venue.damai.cn/venue_815.html"
"834";"西安曲江新城剧场" ; "3250" ; "西安" ; "新城区" ; "西新街2号" ; "剧场" ; " 音乐会/话剧/歌剧" ; "0" ; "http://venue.damai.cn/venue_834.html"
"837";"西安易俗大剧院" ; "3250" ; "西安" ; "新城区" ; "西安易俗大剧院" ; "剧场" ; " 音乐会/话剧/歌剧" ; "0" ; "http://venue.damai.cn/venue_837.html"
"853";"西安索菲特人民大厦大剧院" ; "3250" ; "西安" ; "新城区" ; "西安市新城区东新街319号" ; "剧场" ; " 音乐会/话剧/歌剧" ; "4" ; "http://venue.damai.cn/venue_853.html"
"892";"西安唐乐宫" ; "3250" ; "西安" ; "碑林区" ; "陕西省西安市碑林区长安北路58号" ; "剧场" ; " 舞蹈芭蕾" ; "0" ; "http://venue.damai.cn/venue_892.html"
